1,Jayanagara 9th Block,Yeshwanathapura new railway station,16,19.6,86,AC
1E,JPNagara 6th Phase,Chowdeshwari Bus Stand JP Park,30,20.8,105,AC
1F,BTM Layout,Krishnarajendra Market,20,11.5,105,AC
CCC-1,City Civil Court,City Civil Court,26,15.4,73,AC
FDR-1,Vasanthapura,Vasanthapura,19,19,107,AC
G-1,MG Road,Kadugodi,16,21.8,107,AC
K-1,Central Silk Board,Yeshwanathapura new railway station,17,27.8,107,AC
KHC-1,Mysore Bank,Mysore Bank,25,10.8,98,AC
MF-1,Kempegowda Bus Station,Kempegowda Bus Station,23,14.5,116,AC
NLMF-1,Peenya 2nd stage,Chikkabanawara,28,9.9,93,AC
WFS-1,Borewell,Borewell,21,19.4,100,AC
2,JPNagara 6th Phase,Kempegowda Bus Station,19,14.5,89,AC
2A,JP Nagara 1st Phase,Kempegowda Bus Station,25,13.7,69,AC
2B,Eliyas Nagar,Kempegowda Bus Station,26,14,108,AC
2D,JPNagara 6th Phase,City Railway Station,30,13,99,AC
2E,JPNagara 6th Phase,Kempegowda Bus Station,23,14.5,106,AC
CHAKRA-2,Banashankari Bus Station,Banashankari Bus Station,15,13.5,104,AC
FDR-2,Vasanthapura,Vasanthapura,16,19,74,AC
G-2,Mayohall,Sarjapura Bus Stand,26,28,109,AC
BC-4A,Jayanagara 4th Block,Yelenahalli,30,11.6,88,AC
G-4,Brigade Road,Bannerghatta National Park,17,20.4,114,AC
HS-4,Krishnarajendra Market,Jayadeva Hospital,23,10.5,112,AC
K-4,Nagarabhavi BDA Complex,CV Raman Nagara,26,28.5,74,AC
MF-4,Kalyananagara Bus Stand,Central Silk Board,27,26,117,AC
TR-4,Jagajeevanram Nagara,Nagavara,25,17.3,78,AC
TR-4A,Jagajeevanram Nagara,Ramakrishna Hegde Nagara,20,20.5,75,AC
FDR-5,Chikkallasandra Bus Stand,Chikkallasandra Bus Stand,27,27.1,78,AC
K-5,HSR BDA COMPLEX,Bagalagunte,21,29.6,86,AC
MBS-5,Katriguppe,Jalahalli Cross,28,21.5,89,AC
MF-5,Central Silk Board,Old Bayappanahalli,24,12.5,114,AC
BC-6,Uttarahalli,Hullala Upanagara,27,14.5,95,AC
D-6,Kengeri Satelite Town,Kadugodi,20,48.3,71,AC
FDR-6,Chikkallasandra Bus Stand,Chikkallasandra Bus Stand,19,26.1,64,AC
G-6,Shanthinagar TTMC,Shirke KHB Quarters,23,21,66,AC
K-6,Jambu Savari Dinne,Kalyananagara Bus Stand,21,28.1,60,AC
MBS-6,CV Raman Nagara,Vidyaranyapura,25,31.5,111,AC
MF-6,Thambuchetty Palya,Mangammana Palya,22,17.9,71,AC
TR-6,Girinagara Extention,Sadhashivanagar,22,16.7,114,AC
